Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 30/10/2015
TIME       : 11:24:35
FILENAME   : C:\Users\Veldwerk\Desktop\638_Den_Helder\CSV\sws_t2897_151030112434_T2897.CSV
CREATED BY : SWS Diver-Office 6.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..01-T2897  317.
  Instrument number       =                    
                          =0
  Location                =sws_t2897
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..01-T2897  317.
  Instrument number       =                    
  Location                =sws_t2897
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 20/08/15
  End date / time         =00:15:12 30/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Druk[cm],Temperatuur[°C],1:Geleidbaarheid[mS/cm]
2015/08/20 12:00:00,1043.300,27.863,0.000
2015/08/20 12:15:00,1042.950,26.523,0.000
2015/08/20 12:30:00,1043.125,25.337,0.000
2015/08/20 12:45:00,1043.125,26.947,0.000
2015/08/20 13:00:00,1043.242,28.103,0.000
2015/08/20 13:15:00,1140.017,18.940,1.020
2015/08/20 13:30:00,1139.550,18.903,1.024
2015/08/20 13:45:00,1139.492,18.900,1.024
2015/08/20 14:00:00,1139.025,18.900,1.020
2015/08/20 14:15:00,1139.375,18.907,1.020
2015/08/20 14:30:00,1139.025,18.917,1.016
2015/08/20 14:45:00,1139.200,18.920,1.016
2015/08/20 15:00:00,1139.142,18.923,1.016
2015/08/20 15:15:00,1139.200,18.920,1.012
2015/08/20 15:30:00,1138.675,18.920,1.008
2015/08/20 15:45:00,1139.025,18.927,1.004
2015/08/20 16:00:00,1137.858,18.923,1.000
2015/08/20 16:15:00,1136.575,18.927,0.996
2015/08/20 16:30:00,1135.292,18.937,0.988
2015/08/20 16:45:00,1133.133,18.943,0.980
2015/08/20 17:00:00,1131.208,18.940,0.976
2015/08/20 17:15:00,1129.575,18.937,0.972
2015/08/20 17:30:00,1128.408,18.933,0.964
2015/08/20 17:45:00,1127.242,18.933,0.960
2015/08/20 18:00:00,1126.425,18.927,0.956
2015/08/20 18:15:00,1125.783,18.923,0.952
2015/08/20 18:30:00,1124.792,18.917,0.948
2015/08/20 18:45:00,1123.975,18.917,0.952
2015/08/20 19:00:00,1124.150,18.910,0.948
2015/08/20 19:15:00,1125.492,18.903,0.948
2015/08/20 19:30:00,1126.425,18.893,0.948
2015/08/20 19:45:00,1127.592,18.887,0.948
2015/08/20 20:00:00,1128.700,18.883,0.948
2015/08/20 20:15:00,1129.400,18.880,0.944
2015/08/20 20:30:00,1130.042,18.873,0.944
2015/08/20 20:45:00,1130.567,18.867,0.940
2015/08/20 21:00:00,1130.683,18.863,0.940
2015/08/20 21:15:00,1131.033,18.860,0.944
2015/08/20 21:30:00,1131.208,18.853,0.944
2015/08/20 21:45:00,1131.675,18.857,0.944
2015/08/20 22:00:00,1131.850,18.863,0.948
2015/08/20 22:15:00,1131.850,18.863,0.952
2015/08/20 22:30:00,1132.667,18.853,0.952
2015/08/20 22:45:00,1133.658,18.850,0.952
2015/08/20 23:00:00,1134.300,18.850,0.956
2015/08/20 23:15:00,1134.592,18.853,0.956
2015/08/20 23:30:00,1135.292,18.853,0.956
2015/08/20 23:45:00,1135.933,18.850,0.956
2015/08/21 00:00:00,1136.575,18.847,0.956
2015/08/21 00:15:00,1136.750,18.843,0.960
